'bout	baʊt
madres	ˈmɑˌdɹeɪz
madrid	məˈdɹɪd
madrids	məˈdɹɪdz
madrigal	ˈmæd.ɹə.ɡəl|ˈmæd.ɹɪ.ɡəl
madrigals	ˈmæd.ɹə.ɡəlz|ˈmæd.ɹɪ.ɡəlz
madril	ˈmæd.ɹɪl
madron	ˈmæd.ɹən
madruga	ˈmæd.ɹu.ɡə
madry	ˈmæd.ɹi
madsen	ˈmæd.sən
madsen's	ˈmæd.sənz
madson	ˈmæd.sən
madstones	ˈmædˌstoʊnz
mady	ˈmeɪ.di
madyun	ˈmæd.i.ən|ˈmæd.jən
mae	meɪ
mae's	meɪz
maeda	meɪˈi.də
maeder	ˈmɛd.ɚ
maekawa	ˌmɑ.ɪˈkɑ.wə
maelstrom	ˈmeɪl.stɹəm
maenza	mɑˈɛn.zə
maersk	mɛɹsk
maertens	ˈmɛɹ.tənz
maertz	mɛɹts
maerz	mɛɹz
maes	meɪz
maese	mis
maestas	ˈmɛs.təz
maestra	ˈmaɪ.stɹə
maestri	mɑˈɛs.tɹi
maestro	ˈmaɪ.stɹoʊ
maeve	məˈɛv
maez	maɪˈɛz
maffei	ˈmæf.aɪ
maffeo	ˈmɑ.fi.oʊ
maffett	ˈmæf.ɪt
maffia	ˈmæf.i.ə
maffucci	mɑˈfu.tʃi
mafia	ˈmɑ.fi.ə
mafia's	ˈmɑ.fi.əz
mafias	ˈmɑ.fi.əz
mafikeng	ˈmɑ.fə.kɛŋ
mag	mæɡ
magadan	ˈmæɡ.əˌdæn
magaji	məˈɡɑ.dʒi
magallanes	ˈmæɡ.əˌleɪnz
magallon	ˈmæɡ.ə.lɑn
magan	ˈmeɪ.ɡən
magana	mɑˈɡæn.ə
magar	ˈmæɡ.ɚ
magarian	məˈɡɛɹ.i.ən
magaw	ˈmæɡ.ɔ
magazine	ˈmæɡ.əˌzin
magazine's	ˈmæɡ.əˌzinz
magaziner	ˌmæ.ɡəˈzi.nɚ
magaziner's	ˌmæ.ɡəˈzi.nɚz
magazines	ˈmæɡ.əˌzinz
magazines'	ˈmæɡ.əˌzinz
magby	ˈmæɡ.bi
magda	ˈmæɡ.də
magdala	mɑɡˈdɑ.lə
magdalen	ˈmæɡ.də.lən
magdalena	ˌmæɡ.dəˈli.nə
magdalene	ˈmæɡ.dəˌlin
magdaleno	mɑɡ.dɑˈleɪ.noʊ
magee	məˈɡi
magel	ˈmæɡ.əl
magellan	məˈdʒɛl.ən
magellan's	məˈdʒɛl.ənz
magellanic	ˌmæ.dʒəˈlæn.ɪk
magenta	məˈdʒɛn.tə
mager	ˈmæɡ.ɚ|ˈmeɪ.ɡɚ
magerman	ˈmæɡ.ɚ.mən
magers	ˈmæɡ.ɚz
mages	ˈmeɪ.dʒɪz
maggard	ˈmæɡ.ɚd
maggart	ˈmæɡ.ɚt
maggi	ˈmædʒˌi
maggie	ˈmæɡˌi
maggie's	ˈmæɡˌiz
maggio	ˈmɑˌdʒi.oʊ
maggot	ˈmæɡ.ət
maggots	ˈmæɡ.əts
maggs	mæɡz
magi	ˈmeɪ.dʒaɪ
magic	ˈmædʒ.ɪk
magic's	ˈmædʒ.ɪks
magical	ˈmædʒ.ɪ.kəl
magically	ˈmædʒ.ɪ.kə.li|ˈmædʒ.ɪ.kli
magician	məˈdʒɪʃ.ən
magicians	məˈdʒɪʃ.ənz
magid	ˈmædʒ.ɪd
magie	ˈmeɪ.dʒi
magiera	mɑˈdʒɪɹ.ə
magill	ˈmædʒ.əl
magin	ˈmædʒ.ɪn
maginn	ˈmædʒ.ɪn
maginnis	ˈmædʒ.ɪ.nɪs|məˈɡɪn.ɪs
maginot	ˈmædʒ.ɪ.nɑ|ˈmædʒ.ɪ.nət
magistad	ˈmædʒ.ɪˌstæd
magisterial	ˌmæ.dʒɪˈsti.ɹi.əl
magistrate	ˈmædʒ.əˌstɹeɪt|ˈmædʒ.ɪˌstɹeɪt
magistrates	ˈmædʒ.ɪˌstɹeɪts
magistro	mɑˈdʒi.stɹoʊ
maglaj	ˈmɑˌɡlaɪ|ˈmæɡˌlaɪ
maglaj's	ˈmɑˌɡlaɪz|ˈmæɡˌlaɪz
maglev	ˈmæɡˌlɛv
magley	ˈmæɡ.li
magli	ˈmæɡ.li
magliano	mɑ.ɡliˈɑ.noʊ
maglica	ˈmæɡ.lɪ.kə
maglio	ˈmæɡ.li.oʊ
magliocco	mɑ.ɡliˈoʊ.koʊ
magliolo	ˌmæ.ɡliˈoʊ.loʊ
maglione	mɑ.ɡliˈoʊ.ni
maglis	ˈmæɡ.liz
magma	ˈmæɡ.mə
magma's	ˈmæɡ.məz
magna	ˈmæɡ.nə
magna's	ˈmæɡ.nəz
magnan	ˈmæɡ.nən
magnani	mɑɡˈnɑ.ni
magnanimous	mæɡˈnæn.ə.məs
magnano	mɑɡˈnɑ.noʊ
magnant	ˈmæɡ.nənt
magnate	ˈmæɡ.nət|ˈmæɡˌneɪt
magnates	ˈmæɡˌneɪts
magnavox	ˈmæɡ.nə.vɑks
magner	ˈmæɡ.nɚ
magnesia	mæɡˈni.ʒə
magnesite	ˈmæɡ.nəˌsaɪt
magnesium	mæɡˈni.zi.əm
magness	məɡˈnis
magnet	ˈmæɡ.nət
magnet's	ˈmæɡ.nəts
magnetek	ˈmæɡ.nɛˌtɛk
magneti	mæɡˈnɛt.i
magnetic	mæɡˈnɛt.ɪk
magnetically	mæɡˈnɛt.ɪ.kə.li|mæɡˈnɛt.ɪ.kli
magnetics	mæɡˈnɛt.ɪks
magnetism	ˈmæɡ.nəˌtɪ.zəm
magnetite	ˈmæɡ.nəˌtaɪt
magnetization	ˌmæɡ.nə.təˈzeɪ.ʃən
magnetized	ˈmæɡ.nɪˌtaɪzd
magnetometer	ˌmæɡ.nəˈtɑ.mə.tɚ
magnetometers	ˌmæɡ.nəˈtɑ.mə.tɚz
magnetron	ˈmæɡ.nəˌtɹɑn
magnets	ˈmæɡ.nəts
magnification	ˌmæɡ.nə.fəˈkeɪ.ʃən
magnifications	ˌmæɡ.nə.fəˈkeɪ.ʃənz
magnificent	mæɡˈnɪf.ə.sənt|mæɡˈnɪf.ɪ.sənt
magnificently	mæɡˈnɪf.ə.sənt.li
magnified	ˈmæɡ.nəˌfaɪd
magnifier	ˈmæɡ.nəˌfaɪ.ɚ
magnifiers	ˈmæɡ.nəˌfaɪ.ɚz
magnifies	ˈmæɡ.nəˌfaɪz
magnify	ˈmæɡ.nəˌfaɪ
magnifying	ˈmæɡ.nəˌfaɪ.ɪŋ
magnin	ˈmæɡ.nɪn
magnitogorsk	mæɡˈnɪt.ə.ɡɔɹsk
magnitude	ˈmæɡ.nəˌtud
magnitudes	ˈmæɡ.nəˌtudz
magno	ˈmæɡ.noʊ
magnolia	mæɡˈnoʊ.ljə
magnolias	mæɡˈnoʊ.ljəz
magnone	mɑɡˈnoʊ.ni
magnum	ˈmæɡ.nəm
magnus	ˈmæɡ.nəs
magnuson	ˈmæɡ.nə.sən
magnussen	ˈmæɡ.nə.sən
magnusson	ˈmæɡ.nə.sən
magoon	məˈɡun
magouirk	məˈɡwɝk
magowan	mɑˈɡoʊ.wɑn
magpie	ˈmæɡˌpaɪ
magpies	ˈmæɡˌpaɪz
magrane	ˈmæɡˌɹeɪn
magrath	məˈɡɹæθ
magri	ˈmæɡ.ɹi
magrini	mɑˈɡɹi.ni
magro	ˈmæɡ.ɹoʊ
magruder	məˈɡɹu.dɚ
mags	mæɡz
magten	ˈmæɡˈtɛn
maguire	məˈɡwaɪɹ
magus	ˈmeɪ.ɡəs
magwood	ˈmæɡˌwʊd
magyar	ˈmæɡˌjɑɹ
magyars	ˈmæɡˌjɑɹz
mah	mɑ
mahabharata	mɑ.hɑ.bɚˈɑ.tə
mahady	məˈhɑ.di
mahaffey	məˈhæf.i
mahaffy	ˈmæh.ə.fi
mahal	məˈhɑl
mahala	ˈmæh.ə.lə
mahalah	ˈmæh.ə.lə
mahalia	məˈhæl.i.ə
mahamud	məˈhɑˌmʊd
mahan	ˈmeɪ.ən
mahaney	məˈheɪ.ni
mahannah	məˈhæn.ə
mahany	ˈmæh.ə.ni
mahar	ˈmæh.ɚ
maharaja	ˌmɑ.hɚˈɑˌʒʌ
maharaja's	mɑ.hɚˈɑˌʒʌz
maharajahs	mɑ.hɚˈɑ.dʒəz
maharashtra	ˌmɑ.hɚˈɑʃˌtɹʌ
mahariv	ˌmɑˈhɑ.ɹiv
maharive	ˌmɑ.həˈɹiv
mahathir	ˈmæh.ə.θɚ|məˈhæθˌɪɹ|məˈhɑˌθɪɹ
mahatma	məˈhɑt.mə
mahavira	ˈmɑ.hɑˌvi.ɹɑ
mahayana	ˌmɑ.həˈjɑ.nə
mahdi	ˈmɑ.di
mahe	ˈmeɪ.hi
mahen	ˈmeɪˌhɛn|ˈmeɪ.ən
maher	mɑɹ
mahesh	məˈhɛʃ
maheu	ˈmæh.ju
mahfouz	mɑˈfuz
mahfouz's	mɑˈfu.zɪz
mahila	məˈhɪl.ə
mahin	ˈmæh.ɪn
mahindra	məˈhɪn.dɹə
mahl	mɑl
mahle	ˈmeɪ.həl
mahler	ˈmɑ.lɚ
mahler's	ˈmɑ.lɚz
mahlman	ˈmɑl.mən
mahlmann	ˈmɑl.mən
mahlon	ˈmeɪˌlɔn
mahlstedt	ˈmɑl.stɪt
mahlum	ˈmɑ.ləm
mahmood	ˈmæm.ud|mɑˈmud
mahmoud	ˈmæm.ud|mɑˈmud
mahmud	ˈmæm.ud|mɑˈmud
mahn	mæn
mahnke	mæŋk
mahnken	ˈmɑŋ.kən
mahogany	məˈhɑ.ɡə.ni
mahon	ˈmeɪ.ən
mahone	ˈmæh.ən
mahoney	məˈhoʊ.ni
mahony	ˈmæh.ə.ni
mahood	ˈmɑ.hʊd
mahowald	ˈmæh.aʊ.ɔld
mahr	mɑɹ
mahrt	mɑɹt
mahtan	ˈmɑˌtɑn
mahtar	ˈmɑ.tɚ
mahurin	ˈmæh.jɚ.ɪn
mahvi	ˈmɑ.vi
mahwah	ˈmɑ.wə
mai	maɪ
maia	ˈmaɪ.ə
maid	meɪd
maid's	meɪdz
maida	ˈmeɪ.də
maidan	ˌmaɪˈdɑn
maidel	ˈmeɪ.dəl
maiden	ˈmeɪ.dən
maidenform	ˈmeɪ.dənˌfɔɹm
maidens	ˈmeɪ.dənz
maidie	ˈmeɪ.di
maids	meɪdz
maids'	meɪdz
maiello	ˌmaɪˈɛl.oʊ
maier	ˈmeɪ.ɚ
maiers	ˈmeɪ.ɚz
maietta	maɪˈɛt.ə
mail	meɪl
mail's	meɪlz
mailbag	ˈmeɪlˌbæɡ
mailbags	ˈmeɪlˌbæɡz
mailbox	ˈmeɪlˌbɑks
mailboxes	ˈmeɪlˌbɑk.sɪz
maile	meɪl
mailed	meɪld
mailer	ˈmeɪ.lɚ
mailer's	ˈmeɪ.lɚz
mailers	ˈmeɪ.lɚz
mailey	ˈmeɪ.li
mailgram	ˈmeɪlˌɡɹæm
mailgrams	ˈmeɪlˌɡɹæmz
mailhot	ˈmaɪl.hət
mailing	ˈmeɪ.lɪŋ
mailings	ˈmeɪ.lɪŋz
maillard	mɛˈlɑɹd
maille	meɪl
maillet	mɛˈlɛt
mailloux	mɛˈlu
mailman	ˈmeɪlˌmæn
mailmen	ˈmeɪlˌmɛn
mailroom	ˈmeɪlˌɹum
mailrooms	ˈmeɪlˌɹumz
mails	meɪlz
mailson	ˈmeɪl.sən
maim	meɪm
maimed	meɪmd
maiming	ˈmeɪ.mɪŋ
maimone	ˈmeɪˌmoʊn
maims	meɪmz
main	meɪn
maina	ˈmeɪ.nə
mainard	ˈmeɪ.nɚd
maine	meɪn
maine's	meɪnz
mainer	ˈmeɪ.nɚ
mainers	ˈmeɪ.nɚz
maines	meɪnz
mainframe	ˈmeɪnˌfɹeɪm
mainframes	ˈmeɪnˌfɹeɪmz
mainichi	ˌmɑ.ɪˈni.tʃi
mainland	ˈmeɪnˌlænd|ˈmeɪn.lənd
mainlander	ˈmeɪnˌlæn.dɚ
mainlanders	ˈmeɪnˌlæn.dɚz
mainline	ˈmeɪnˌlaɪn
mainly	ˈmeɪn.li
maino	ˈmeɪ.noʊ
mainor	ˈmeɪ.nɚ
mainord	mɛˈnɔɹd
mains	meɪnz
mainstay	ˈmeɪnˌsteɪ
mainstays	ˈmeɪnˌsteɪz
mainstream	ˈmeɪnˌstɹim
mainstreaming	ˈmeɪnˌstɹi.mɪŋ
mainstreet	ˈmeɪnˌstɹit
maintain	meɪnˈteɪn
maintained	meɪnˈteɪnd
maintaining	meɪnˈteɪ.nɪŋ
maintains	meɪnˈteɪnz
maintenance	ˈmeɪn.tə.nəns|ˈmeɪnt.nəns
mainville	ˈmeɪnˌvɪl
mainwaring	ˈmeɪnˌwɛ.ɹɪŋ
mainz	meɪnz
maio	ˈmeɪ.oʊ
maiolo	ˈmaɪ.oʊ.loʊ
maione	ˈmaɪ.oʊ.ni
maiorana	maɪ.ɔˈɹæn.ə
maiorano	ˈmaɪ.ɔ.ɹɑ.noʊ
maiorino	maɪ.ɔˈɹi.noʊ
mair	mɛɹ
maire	mɛɹ
mairead	ˈmeɪ.ɹɛ
mairs	mɛɹz
mais	meɪs
maisano	məˈsɑ.noʊ
maisch	maɪʃ
maisel	ˈmaɪ.səl
maish	ˈmɑ.ɪʃ
maisie	ˈmeɪ.zi
maison	ˈmeɪ.zən
maisonet	ˈmɛs.ə.nɪt
maiti	ˈmeɪ.ti
maitland	ˈmeɪt.lənd
maitre	ˈmeɪ.tɹə
maize	meɪz
maize's	ˈmeɪ.zəz
maiziere	ˈmeɪˌzɪɹ
maj	mædʒ
majcher	ˈmædʒ.kɚ
majchrzak	ˈmaɪɹ.zək
majer	ˈmeɪ.dʒɚ
majerus	ˈmædʒ.ɚ.ɪs
majeske	maɪˈɛs.ki
majeski	maɪˈɛs.ki
majesta	mɑˈjeɪ.stə
majestic	məˈdʒɛs.tɪk
majestically	məˈdʒɛs.tɪ.kə.li|məˈdʒɛs.tɪ.kli
majesty	ˈmædʒ.ə.sti
majesty's	ˈmædʒ.ə.stiz
majette	məˈʒɛt
majeure	məˈdʒuɹ
majewski	maɪˈɛf.ski
majid	məˈdʒɪd
majik	ˈmædʒ.ɪk
majka	ˈmaɪ.kə
majkowski	maɪˈkɔf.ski
majnoon	ˌmædʒˈnun
majolica	məˈdʒɔ.lə.kə
major	ˈmeɪ.dʒɚ
major's	ˈmeɪ.dʒɚz
majorca	maɪˈɔɹ.kə
majordomo	ˌmeɪ.dʒɚˈdoʊ.moʊ
majored	ˈmeɪ.dʒɚd
majoring	ˈmeɪ.dʒɚ.ɪŋ
majoritarian	ˌmæ.dʒɚ.ɪˈtɛɹ.i.ən
majorities	məˈdʒɔ.ɹɪ.tiz
majority	məˈdʒɔ.ɹə.ti
majority's	məˈdʒɔ.ɹə.tiz
majoros	mɑˈjɔ.ɹoʊz
majors	ˈmeɪ.dʒɚz
majors'	ˈmeɪ.dʒɚz
majrooh	ˈmædʒ.ɹu
majure	mɑˈjʊɹ.eɪ
mak	mæk
mak-kwan	ˈmækˈkwɑn
makar	ˈmæk.ɚ
makara	mɑˈkɑ.ɹə
makarewicz	məˈkɑ.ɹɪ.vɪtʃ
make	meɪk
make-do	ˈmeɪkˌdu
make-over	ˈmeɪˌkoʊ.vɚ
make-up	ˈmeɪˌkʌp
makefield	ˈmeɪk.fild
makegood	ˈmeɪkˌɡʊd
makegoods	ˈmeɪkˌɡʊdz
makela	ˈmæk.ɪ.lə
makeover	ˈmækˌoʊ.vɚ
makeovers	ˈmækˌoʊ.vɚz
makepeace	ˈmæk.pis
maker	ˈmeɪ.kɚ
maker's	ˈmeɪ.kɚz
makers	ˈmeɪ.kɚz
makers'	ˈmeɪ.kɚz
makes	meɪks
makeshift	ˈmeɪkˌʃɪft
makeup	ˈmeɪˌkʌp
makhoul	məˈkul
maki	ˈmɑ.ki
makin	ˈmæk.ɪn
makin'	ˈmeɪ.kɪn
makinen	ˈmæk.ɪ.nən
making	ˈmeɪ.kɪŋ
makings	ˈmeɪ.kɪŋz
makinson	ˈmæk.ɪn.sən
makita	məˈki.tə
mako	ˈmɑ.koʊ
makos	ˈmeɪ.koʊz
makoto	məˈkoʊ.toʊ
makowski	məˈkɔf.ski
makowsky	məˈkaʊ.ski
makris	ˈmæk.ɹɪs
makro	ˈmæk.ɹoʊ
maksoud	mækˈsud
maksymuk	ˈmæk.siˌmʊk
maktoum	mækˈtum
maktoums	mækˈtumz
makuch	ˈmæk.ək
mal	mæl
mal's	mælz
mala	ˈmɑ.lə
malabre	ˈmæl.ə.bɹə
malacanang	məˈlæk.ə.næŋ
malacca	məˈlæk.ə
malachowski	mə.ləˈhɔf.ski
maladich	ˈmæl.ə.dɪk|ˈmæl.ə.dɪtʃ
maladies	ˈmæl.ə.diz
maladjusted	ˌmæ.ləˈdʒʌs.tɪd
maladroit	ˌmæ.ləˈdɹɔɪt
malady	ˈmæl.ə.di
malaga	ˈmæl.ə.ɡə
malagasy	ˌmæ.ləˈɡæs.i
malahide	ˌmæ.ləˈhaɪd
malaise	mæˈleɪz
malak	ˈmæl.ək
malamud	ˈmæl.ə.məd
malamugi	ˈmæl.əˌmju.dʒi
malamute	ˈmæl.əˌmjut
malan	ˈmeɪ.lən
maland	ˈmæl.ənd
malaney	məˈleɪ.ni
malanga	mɑˈlɑŋ.ɡə
malanowski	mə.ləˈnɔf.ski
malaprop	ˈmæl.əˌpɹɑp
malara	mɑˈlɑ.ɹə
malaria	məˈlɛɹ.i.ə
malarial	məˈlɛɹ.i.əl
malarkey	məˈlɑɹ.ki
malary	ˈmæl.ə.ɹi
malaspina	mɑ.lɑˈspi.nə
malatesta	mɑ.lɑˈtɛs.tə
malathion	məˈlæθ.i.ɔn|məˈlæθ.i.ən
malave	mɑˈlɑ.vi
malawi	məˈlɑ.wi
malawi's	məˈlɑ.wiz
malay	ˈmeɪ.leɪ
malayan	məˈleɪ.ən
malays	məˈleɪz
malaysia	məˈleɪ.ʒə
malaysia's	məˈleɪ.ʒəz
malaysian	məˈleɪ.ʒən
malaysians	məˈleɪ.ʒənz
malbon	ˈmæl.bən
malbrough	ˈmæl.bɹaʊ
malburg	ˈmæl.bɚɡ
malchow	ˈmɑl.haʊ
malcolm	ˈmæl.kəm
malcolm's	ˈmæl.kəmz
malcolmson	ˈmæl.kəm.sən
malcom	ˈmæl.kəm
malcomb	ˈmæl.kəm
malcomson	ˈmæl.kəm.sən
malcontent	ˌmæl.kənˈtɛnt
malcontents	ˌmæl.kənˈtɛnts
malczewski	məlˈtʃɛf.ski
malden	ˈmɔl.dən
maldives	ˈmɔlˌdaɪvz
maldonado	mæl.dəˈnɑ.doʊ
maldutis	mɑlˈdu.tɪs
male	meɪl
male's	meɪlz
malec	ˈmɑ.lɪk
malecha	məˈlɛtʃ.ə
malecki	məˈlɛk.i
malefactor	ˈmæl.əˌfæk.tɚ|ˈmælˌfæk.tɚ
malefactors	ˈmæl.əˌfæk.tɚz|ˈmælˌfæk.tɚz
malek	ˈmɑ.lɛk
malena	ˈmæl.ɪ.nə
malenfant	mɑˈleɪn.fənt
maler	ˈmeɪ.lɚ
malerba	mɑˈlɛɹ.bə
males	meɪlz
maleski	məˈlɛs.ki
malesky	məˈlɛs.ki
malevolent	məˈlɛv.ə.lənt
maley	ˈmeɪ.li
malfeasance	ˌmælˈfi.zəns
malfitano	ˌmæl.fɪˈtɑ.noʊ
malformation	ˌmæl.fɔɹˈmeɪ.ʃən
malformations	ˌmæl.fɔɹˈmeɪ.ʃənz
malformed	ˌmælˈfɔɹmd
malfunction	mælˈfʌŋk.ʃən
malfunctioned	mælˈfʌŋk.ʃənd
malfunctioning	mælˈfʌŋk.ʃə.nɪŋ
malfunctions	mælˈfʌŋk.ʃənz
malhotra	ˌmælˈhɑ.tɹə
mali	ˈmɑ.li
malia	ˈmɑ.li.ə
malibu	ˈmæl.ə.bu
malice	ˈmæl.əs|ˈmæl.ɪs
malicious	məˈlɪʃ.əs
maliciously	məˈlɪʃ.ɪ.sli
malick	ˈmæl.ɪk
malicki	məˈlɪk.i
malicoat	ˈmæl.ɪˌkoʊt
malign	məˈlaɪn
malignancies	məˈlɪɡ.nən.siz
malignancy	məˈlɪɡ.nən.si
malignant	məˈlɪɡ.nənt
maligned	məˈlaɪnd
malik	ˈmæl.ɪk
malin	ˈmæl.ɪn|ˈmeɪ.lɪn
malina	mɑˈli.nə
malinak	ˈmæl.ɪˌnæk
malinda	mɑˈlin.də
malinde	ˈmæl.ɪnd
maline	mɑˈli.ni
malino	məˈli.noʊ
malinoski	mə.lɪˈnaʊ.ski
malinowski	mə.lɪˈnɔf.ski
malinski	məˈlɪn.ski
malis	ˈmɑ.liz
maliszewski	mə.lɪˈʃɛf.ski
malizia	məˈlɪz.i.ə
malkiel	ˈmɔl.ki.əl
malkiewicz	ˈmɑl.kə.vɪtʃ
malkin	ˈmæl.kɪn
malkovich	ˈmɔl.kə.vɪtʃ
malkowski	məlˈkɔf.ski
mall	mɔl
mall's	mɔlz
mallard	ˈmæl.ɚd
mallards	ˈmæl.ɚdz
malle	mæl
malleability	ˌmæ.li.əˈbɪl.ə.ti
malleable	ˈmæl.i.ə.bəl
mallek	ˈmæl.ɪk
mallen	ˈmɔ.lən
maller	ˈmɔ.lɚ
mallery	ˈmæl.ɚ.i
mallet	ˈmæl.ɪt
malleton	ˈmæl.ə.tən
malleton's	ˈmæl.ə.tənz
mallett	ˈmæl.ɪt
mallette	məˈlɛt
malley	ˈmæl.i
mallia	ˈmɑ.li.ə
mallick	ˈmæl.ɪk
mallicoat	ˈmæl.ɪ.koʊt
mallie	ˈmɔ.li
mallightco	ˌmæˈlaɪt.koʊ
mallin	ˈmæl.ɪn
mallinckrodt	ˈmæl.ɪŋˌkɹɑt
mallinger	ˈmɔ.lɪŋ.ɚ
mallinson	ˈmæl.ɪn.sən
mallis	ˈmæl.ɪs
mallison	ˈmæl.ɪ.sən
mallo	ˈmɑ.loʊ
malloch	ˈmæl.ək
mallon	ˈmæl.ən
mallonee	mæ.ləˈni
mallory	ˈmæl.ɚ.i
malloseismic	ˈmɑ.loʊˈsaɪz.mɪk
mallow	ˈmæl.oʊ
mallows	ˈmæl.oʊz
malloy	məˈlɔɪ
mallozzi	ˌmæˈlɑ.zi
mallrat	ˈmɔl.ɹæt
mallrats	ˈmɔl.ɹæts
malls	mɔlz
mally	ˈmæl.i
malm	mɑm
malmberg	ˈmɑlm.bɚɡ
malmgren	ˈmælm.ɡɹɛn
malmquist	ˈmælm.kwɪst
malmstrom	ˈmælm.stɹəm
malnar	ˈmæl.nɚ
malnourish	mælˈnɝ.ɪʃ
malnourished	mælˈnɝ.ɪʃt
malnutrition	ˌmæl.nuˈtɹɪʃ.ən
malo	ˈmɑ.loʊ
malon	ˈmæl.ən
malone	məˈloʊn
malone's	məˈloʊnz
maloney	məˈloʊ.ni
maloof	məˈluf
malosovich	məˈlɔ.sə.vɪtʃ
malott	məˈlɑt
malouf	ˈmæl.oʊf
maloy	ˈmæl.ɔɪ
malpass	ˈmæl.pəs
malpensa	ˌmælˈpɛn.sɑ
malphrus	ˈmæl.fɹəs
malpractice	mælˈpɹæk.təs|mælˈpɹæk.tɪs
malrite	ˈmælˌɹaɪt
malrite's	ˈmælˌɹaɪts
malsom	ˈmæl.səm
malson	ˈmæl.sən
malstrom	ˈmæl.stɹəm
malt	mɔlt
malta	ˈmɔl.tə
maltais	məlˈteɪ
maltase	ˈmɔlˌteɪs
maltbie	ˈmælt.bi
maltby	ˈmælt.bi
malted	ˈmɔl.təd
malter	ˈmɔl.tɚ
maltese	mɔlˈtiz
malting	ˈmɔl.tɪŋ
maltose	ˈmɔl.toʊs
maltreated	mælˈtɹi.tɪd
maltreatment	mælˈtɹit.mənt
malts	mɔlts
maltz	mælts
malueg	ˈmæl.ʊɡ
maluken	ˌmæˈlu.kɪn
maluso	məˈlu.soʊ
malva	ˈmɑl.və
malval	ˈmɑl.vɑl
malveaux	mælˈvoʊ
malvern	ˈmæl.vɚn
malvie	ˈmɔl.vi
malvin	ˈmæl.vɪn
malvina	mɑlˈvi.nə
malvinas	mɔlˈvi.nəs
malware	ˈmælˌwɛɹ
maly	ˈmeɪ.li
malzahn	ˈmæl.zən
mam	mɑm|ˈɛmˈeɪˈɛm
mama	ˈmɑ.mə
mama's	ˈmɑ.məz
mamaroneck	məˈmɛɹ.ə.nɛk
mamas	ˈmɑ.məz
mamba	ˈmɑm.bə
mambas	ˈmɑm.bəz
mambo	ˈmɑm.boʊ
mame	meɪm
mameluke	ˈmæm.əˌluk
mamet	ˈmæm.ət
mamet's	ˈmæm.əts
mamie	ˈmeɪ.mi
mamis	ˈmæm.ɪs
mamma	ˈmɑ.mə
mammal	ˈmæm.əl
mammalian	məˈmeɪ.li.ən|məˈmeɪ.ljən
mammallike	ˈmæm.əlˌlaɪk
mammals	ˈmæm.əlz
mammary	ˈmæm.ɚ.i
mammen	ˈmæm.ən
mammogram	ˈmæm.oʊˌɡɹæm
mammograms	ˈmæm.oʊˌɡɹæmz
mammography	məˈmɑ.ɡɹə.fi
mammoth	ˈmæm.əθ
mammoths	ˈmæm.əθs
mamone	məˈmoʊn
mamsted	ˈmæm.stɛd
mamula	ˈmæm.ju.lə
man	mæn
man's	mænz
man-made	ˈmænˌmeɪd
mana	ˈmɑ.nə
manac	ˈmæn.æk
manafort	ˈmæn.ə.fɔɹt
manage	ˈmæn.ədʒ|ˈmæn.ɪdʒ
manageable	ˈmæn.ɪ.dʒə.bəl
managed	ˈmæn.ədʒd|ˈmæn.ɪdʒd
management	ˈmæn.ədʒ.mənt|ˈmæn.ɪdʒ.mənt
management's	ˈmæn.ɪdʒ.mənts
managements	ˈmæn.ɪdʒ.mənts
managements'	ˈmæn.ɪdʒ.mənts
manager	ˈmæn.ə.dʒɚ|ˈmæn.ɪ.dʒɚ
manager's	ˈmæn.ɪ.dʒɚz
managerial	ˌmæ.nɪˈdʒɪɹ.i.əl
managers	ˈmæn.ə.dʒɚz|ˈmæn.ɪ.dʒɚz
managers'	ˈmæn.ə.dʒɚz
manages	ˈmæn.ɪ.dʒɪz
managing	ˈmæn.ə.dʒɪŋ
managua	məˈnɑ.ɡwə
managua's	məˈnɑ.ɡwəz
manahan	ˈmæn.ə.hæn
manak	ˈmæn.ək
manalo	mɑˈnɑ.loʊ
manama	ˈmæn.ə.mə
manard	ˈmæn.ɚd
manas	ˈmɑ.nəz
manasco	mɑˈnɑ.skoʊ
manasion	ˌmæ.nə.ʃən
manasion's	ˌmæ.nə.ʃənz
manassas	məˈnɑ.səs
manatee	ˈmæn.əˌti
manatees	ˈmæn.əˌtiz
manatt	ˈmæn.ət
manbeck	ˈmænˌbɛk
mancala	mɑnˈkɑ.lə
mance	mæns
mancebo	mɑnˈtʃɛb.oʊ
mancera	mænˈsɛɹ.ə
mancha	ˈmɑn.kə
manchester	ˈmænˌtʃɛ.stɚ
manchu	ˈmæn.tʃu
manchuria	mænˈtʃʊɹ.i.ə
mancil	ˈmæn.sɪl
mancilla	ˌmænˈsɪl.ə
mancillas	mənˈsɪl.əz
mancinelli	mɑn.tʃiˈnɛl.i
mancini	mɑnˈtʃi.ni
mancino	mɑnˈtʃi.noʊ
manco	ˈmæŋ.koʊ
mancusi	mɑnˈku.si
mancuso	ˌmæŋˈkju.soʊ
manda	ˈmæn.də
mandala	ˈmɑ.də.lə
mandalay	ˈmæn.dəˌleɪ
mandalit	ˈmæn.dəˌlɪt
mandalite	ˈmæn.dəˌlaɪt
mandamus	mænˈdeɪ.məs
mandarin	ˈmæn.dɚ.ən
mandarine	mæn.dɚˈin
mandarino	mɑn.dɑˈɹi.noʊ
